name, amcos ,added_by,district_id,operator_id,head
BULYANG'OMBE, BULYANG'OMBE AMCOS ,50,130,1,0
CHABUTWA, CHABUTWA AMCOS ,50,130,1,0
KALANGARE, DOHOLEBALIMI AMCOS ,50,130,1,0
GANYAWA, GANYAWA AMCOS ,50,130,1,0
HINDISHI, HINDISHI AMCOS ,50,130,1,0
IBOLOGERO, IBOROGELO AMCOS ,50,130,1,0
IBUTA, IBUTABALIMI AMCOS ,50,130,1,0
KININGILA, IDOSELO AMCOS ,50,130,1,0
IGOGO, IGOGO AMCOS ,50,130,1,0
IGUNGA, IGUNGABALIMI AMCOS ,50,130,1,0
MWAMASHIGA, IGUNGUMKILO AMCOS ,50,130,1,0
IYOGELO, ILAMBAKUKI AMCOS ,50,130,1,0
IPEMBE, ILEMABUHABI AMCOS ,50,130,1,0
IMALILO, IMALILO AMCOS ,50,130,1,0
BULENYA, IPANDIKILO AMCOS ,50,130,1,0
IBOLE, IPEJAUPINA AMCOS ,50,130,1,0
MWABARATURU, IPILILO AMCOS ,50,130,1,0
KINUNGU, IPONYABUHABI AMCOS ,50,130,1,0
NGWANZUGI, IPONYAMAKOYE AMCOS ,50,130,1,0
MONDU, ISABILOBALIMI AMCOS ,50,130,1,0
ISAKAMALIWA, ISAKAMALIWA AMCOS ,50,130,1,0
ISUGILO, ISUGILO AMCOS ,50,130,1,0
MWAMAPULI, ITINDIKABASAMI AMCOS ,50,130,1,0
MAKOMELO, ITOGELO AMCOS ,50,130,1,0
IGURUBI, JILABELA AMCOS ,50,130,1,0
MWAMASHIMBA, JILELABALIMI AMCOS ,50,130,1,0
ITUNDURU, JILELAMHINA AMCOS ,50,130,1,0
CHIBISO, KARIBUBALIMI CHIBISO AMCOS ,50,130,1,0
CHOMA, KARIBUBALIMI CHOMA AMCOS ,50,130,1,0
MWAJILUNGA, LIMAGAUSABE AMCOS ,50,130,1,0
LUNUKILO, LINUKILO AMCOS ,50,130,1,0
MWABAKIMA, MWABAKIMA AMCOS ,50,130,1,0
MWAKABUTA, MWAKABUTA AMCOS ,50,130,1,0
MWAKWANGU, MWADUNDU AMCOS ,50,130,1,0
MWAGALA, MWAGALABALIMI AMCOS ,50,130,1,0
MWANYAGULA, MWANYAGULA AMCOS ,50,130,1,0
MWAZIZI, MWAZIZI AMCOS ,50,130,1,0
MWISI, MWISI AMCOS ,50,130,1,0
NGUVU MOJA, NGUVU MOJA AMCOS ,50,130,1,0
