id,reg_no,truck_name,owner,location,fuel,truck_status ,type
1,T 382 CSQ,DAF,1,21,Diesel,Available,non_owned
2,T 409 CSQ,DAF,1,21,Diesel,Available,non_owned
3,T 419 CSQ,DAF,1,21,Diesel,Available,non_owned
4,T 415 CVG,DAF,1,21,Diesel,Available,non_owned
5,T 464 CVG,DAF,1,21,Diesel,Available,non_owned
6,T 887 CVZ,DAF,1,21,Diesel,Available,non_owned
7,T 478 CSQ,DAF,1,21,Diesel,Available,non_owned
8,T 608 ASR,SCANIA,1,21,Diesel,Available,non_owned
9,T 417 CVG,VOLVO,1,21,Diesel,Available,non_owned
10,T 421 CVG,DAF,1,21,Diesel,Available,non_owned
11,T 429 CVG,DAF,1,21,Diesel,Available,non_owned
12,T 692 AKS,CANTER,2,21,Diesel,Available,owned
13,T 583 AWD,ISUZU,2,21,Diesel,Available,owned
14,T 937 BEV,IVECO,2,21,Diesel,Available,owned
15,T 953 BEV,IVECO,2,21,Diesel,Available,owned
16,T 956 BEV,IVECO,2,21,Diesel,Available,owned
17,T 727 AAB,SCANIA,2,21,Diesel,Available,owned
18,T 733 AAB,SCANIA,2,21,Diesel,Available,owned
19,T 949 ABT ,SCANIA,2,21,Diesel,Available,owned
20,T 958 ALA,SCANIA,2,21,Diesel,Available,owned
21,T 721 AAB,SCANIA,2,21,Diesel,Available,owned
22,T 580 ANP,SCANIA,2,21,Diesel,Available,owned
23,T 381 ANE,SCANIA,2,21,Diesel,Available,owned
24,T 353 APS,SCANIA,2,21,Diesel,Available,owned
25,T 497 ARP,SCANIA,2,21,Diesel,Available,owned
26,T 447 ARP,SCANIA,2,21,Diesel,Available,owned
27,T 575 BFE,SCANIA,2,21,Diesel,Available,owned
28,T 752 ANW,TRAILER,2,21,Diesel,Available,owned
29,T 767 ANW,TRAILER,2,21,Diesel,Available,owned
30,T 352 ANE,TRAILER,2,21,Diesel,Available,owned
31,T 149 AQW,VOLVO,2,21,Diesel,Available,owned
32,T 418 APS,DAF,2,21,Diesel,Available,owned
33,T 405 ANE,SCANIA,2,21,Diesel,Available,owned
34,T 559 ARP,SCANIA,2,21,Diesel,Available,owned
35,T 485 ARP,SCANIA,2,21,Diesel,Available,owned
36,T 943 BEV,IVECO,2,21,Diesel,Available,owned
37,T 739 AAB,SCANIA,3,21,Diesel,Available,non_owned
38,T 723 AAB,SCANIA,3,21,Diesel,Available,non_owned
39,T 679 AAB,SCANIA,3,21,Diesel,Available,non_owned
40,T 717 AAB,SCANIA,3,21,Diesel,Available,non_owned
41,T 693 AAB,SCANIA,3,21,Diesel,Available,non_owned
42,T 675 AAB,SCANIA,3,21,Diesel,Available,non_owned
43,T 688 AAB,SCANIA,3,21,Diesel,Available,non_owned
